Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
NO2,14.0,46.04111,4.074656,ROANNE,ZR AUVERGNE-RHONE-ALPES,2020
NO2,15.0,45.42009,4.395422,SAINT ETIENNE SUD,ZAG SAINT-ETIENNE,2020
NO2,21.0,45.475327,4.515003,SAINT-CHAMOND,ZAG SAINT-ETIENNE,2020
NO2,28.0,45.533424,4.623939,RIVE DE GIER,ZAG SAINT-ETIENNE,2020
NO2,12.0,45.481777,4.429667,LA TALAUDIERE,ZAG SAINT-ETIENNE,2020
NO2,29.0,45.4479806,4.388763889,ST ETIENNE BD URBAIN ,ZAG SAINT-ETIENNE,2020
NO2,20.0,48.685856,6.175111,Hotel Districal,ZAG NANCY,2020
NO2,11.0,48.024605,6.585836,Remiremont,ZR GRAND-EST,2020
NO2,9.0,48.1726528,6.45281666,Epinal,ZR GRAND-EST,2020
NO2,13.0,48.77586,5.162789,Bar Le Duc,ZR GRAND-EST,2020
NO2,14.0,48.621502,6.194922,Fléville,ZAG NANCY,2020
NO2,13.0,48.63334,6.304828,St-Nicolas,ZAG NANCY,2020
NO2,16.0,48.584824,6.4839,Luneville,ZR GRAND-EST,2020
NO2,2.0,48.051117,7.011114,Schlucht,ZR GRAND-EST,2020
NO2,7.0,48.694725,6.965275,Heming,ZR GRAND-EST,2020
NO2,6.0,49.06583,5.785556,Jonville en Woevre,ZR GRAND-EST,2020
NO2,14.0,48.68817,6.190431,Nancy-Charles III,ZAG NANCY,2020
NO2,19.0,48.69708,6.154194,Nancy-Libération,ZAG NANCY,2020
NO2,10.0,48.656944,6.136022,Nancy-Brabois 2,ZAG NANCY,2020
NO2,12.0,44.86121,-0.58037,GRAND PARC,ZAG BORDEAUX,2020
NO2,12.0,44.800462,-0.589398,TALENCE,ZAG BORDEAUX,2020
NO2,16.0,44.849647,-0.544995,BORDEAUX-BASTIDE,ZAG BORDEAUX,2020
NO2,18.0,44.841373,-0.651068,MERIGNAC,ZAG BORDEAUX,2020
NO2,12.0,44.900296,-0.515835,BASSENS,ZAG BORDEAUX,2020
NO2,2.0,44.86581,-0.94,LE TEMPLE,ZR NOUVELLE-AQUITAINE,2020
NO2,6.0,45.014777,-0.533942,AMBES,ZAG BORDEAUX,2020
NO2,11.0,43.310797,-0.391543,BILLERE,ZR NOUVELLE-AQUITAINE,2020
NO2,11.0,43.47982,-1.489157,SAINT-CROUTS,ZR NOUVELLE-AQUITAINE,2020
NO2,18.0,43.494041,-1.528753,ANGLET,ZR NOUVELLE-AQUITAINE,2020
NO2,9.0,43.41123,-0.617728,LACQ,ZR NOUVELLE-AQUITAINE,2020
NO2,8.0,43.376279,-0.538206,LABASTIDE CEZERACQ,ZR NOUVELLE-AQUITAINE,2020
NO2,4.0,43.377194,-0.610278,MOURENX,ZR NOUVELLE-AQUITAINE,2020
NO2,9.0,45.189825,0.727184,PERIGUEUX,ZR NOUVELLE-AQUITAINE,2020
NO2,10.0,43.704643,-1.038557,DAX,ZR NOUVELLE-AQUITAINE,2020
NO2,20.0,43.311091,-0.352116,PAU TOURASSE,ZR NOUVELLE-AQUITAINE,2020
NO2,14.0,44.508782,0.142695,MARMANDE,ZR NOUVELLE-AQUITAINE,2020
NO2,13.0,43.8961,-0.491403,MONT DE MARSAN,ZR NOUVELLE-AQUITAINE,2020
NO2,10.0,43.470237,-1.553876,Biarritz-hippodrome,ZR NOUVELLE-AQUITAINE,2020
NO2,31.0,44.833825,-0.598525,Bordeaux_GAUTIER,ZAG BORDEAUX,2020
NO2,20.0,46.782311,4.847322,Chalon Centre Ville,ZAR CHALON,2020
NO2,14.0,46.821056,4.835083,Champforgueil,ZAR CHALON,2020
